name_file,name_ref,nb_members,aln_len,ref_len,coverage,percent_id,global_quality,rmsd_max,rmsd_mean,rmsd_std,X50%,X80%,X85%,X90%,X95%,X99%,X%var_1st,col_1st,ref_coverage,ref_percent_id,ref_global_quality,ref_rmsd_max,ref_rmsd_mean,ref_rmsd_std,ref_50%,ref_80%,ref_85%,ref_90%,ref_95%,ref_99%,ref_%var_1st,ref_col_1st,X50%_norm,X80%_norm,X85%_norm,X90%_norm,X95%_norm,X99%_norm,X%var_1st_norm,col_1st_norm,ref_50%_norm,ref_80%_norm,ref_85%_norm,ref_90%_norm,ref_95%_norm,ref_99%_norm,ref_%var_1st_norm,ref_col_1st_norm
8EXPA_8EXSA,8EXSA,5,556,556,0.951,0.97,0.954,5.345,3.029,1.419,1,1,1,2,3,4,0.869,0.797,0.951,0.97,0.954,2.903,2.78,0.161,1,1,2,2,2,4,0.806,0.795,1,2,2,3,3,4,0.739,0.933,1,2,2,2,3,4,0.686,0.943
5UZ9K_5UZ9K,5UZ9K,5,92,88,0.946,0.947,0.92,13.52,8.585,5.839,1,1,1,1,1,2,0.984,0.714,0.989,0.985,0.978,13.37,7.428,5.893,1,1,1,1,1,2,0.986,0.753,1,1,1,2,2,4,0.87,0.934,1,1,1,2,3,3,0.887,0.982
1BQLH_4CADH,4CADH,44,227,221,0.925,0.833,0.743,4.938,2.188,0.932,1,3,4,7,11,23,0.678,0.71,0.95,0.838,0.757,4.938,2.685,1.109,1,1,1,3,5,14,0.86,0.736,1,4,5,7,13,25,0.566,0.885,1,2,3,4,8,19,0.703,0.925
6CRJA_6CRJC,6CRJC,18,532,508,0.942,0.897,0.841,13.7,5.082,4.937,1,1,1,1,3,7,0.909,0.788,0.978,0.919,0.878,13.7,12.113,3.501,1,1,1,1,1,2,0.983,0.791,1,1,2,3,4,11,0.813,0.935,1,1,1,1,2,7,0.926,0.974
2E0TA_5GTJB,5GTJB,12,174,168,0.851,0.889,0.815,12.06,5.377,5.325,1,1,1,1,1,3,0.97,0.366,0.881,0.881,0.821,12.06,9.876,4.393,1,1,1,1,1,1,0.997,0.371,1,1,1,2,3,7,0.891,0.849,1,1,1,1,2,5,0.94,0.88
6P3HA_6P3HC,6P3HC,8,360,352,0.975,0.984,0.967,2.268,1.241,0.704,1,1,1,2,2,4,0.89,0.6,0.997,0.989,0.983,2.268,1.217,0.84,1,1,1,1,2,4,0.942,0.592,1,2,2,3,4,5,0.701,0.951,1,2,2,2,3,5,0.774,0.969
3J96G_6IP1E,6IP1E,21,292,292,0.979,0.977,0.966,3.751,1.59,1.041,1,3,4,5,9,14,0.644,0.359,0.979,0.977,0.966,3.744,3.48,0.772,1,1,1,1,2,7,0.949,0.357,2,5,6,8,11,15,0.396,0.83,1,2,3,5,8,13,0.705,0.932
1FFKO_2QEXR,2QEXR,57,150,150,1,0.999,0.998,5.167,0.363,0.905,1,1,1,1,1,18,0.961,0.182,1,0.999,0.998,5.167,0.335,0.652,1,1,1,2,2,17,0.894,0.183,1,6,10,17,27,45,0.672,0.93,1,2,4,8,19,41,0.579,0.914
2DHRA_2DHRA,2DHRA,12,458,458,0.974,0.98,0.97,4.95,2.96,2.055,1,1,1,1,1,4,0.959,0.575,0.974,0.98,0.97,4.813,3.01,1.898,1,1,1,1,1,3,0.959,0.56,1,2,2,3,4,7,0.775,0.951,1,2,2,2,3,6,0.775,0.954
5J30QY_6BOKGD,6BOKGD,14,265,255,0.936,0.955,0.922,13.02,2.844,4.087,1,1,1,1,2,7,0.944,0.506,0.961,0.96,0.94,12.68,2.307,3.002,1,1,1,2,2,6,0.862,0.512,1,2,3,4,6,11,0.772,0.88,1,2,2,3,5,10,0.714,0.895
1VYTA_8EOIJ,8EOIJ,12,332,296,0.828,0.906,0.847,3.344,1.411,0.797,2,3,4,5,7,10,0.452,0.284,0.929,0.96,0.94,3.344,2.736,0.667,1,1,2,2,3,7,0.844,0.245,2,6,6,7,9,11,0.362,0.8,1,3,4,6,8,10,0.524,0.933
2EZWA_3IM3A,3IM3A,6,50,50,0.98,0.975,0.962,4.341,1.84,1.329,1,1,2,2,2,4,0.848,0.632,0.98,0.975,0.962,4.341,2.062,1.148,1,1,2,2,2,4,0.815,0.697,1,2,2,3,3,5,0.656,0.965,1,2,2,2,3,4,0.678,0.963
2R0RA_3BQQD,3BQQD,13,80,79,0.975,0.935,0.902,12.36,3.908,5.274,1,1,1,1,1,2,0.987,0.7,0.987,0.946,0.918,12.32,2.522,4.385,1,1,1,1,1,2,0.985,0.707,1,1,1,1,2,5,0.93,0.962,1,1,1,1,2,5,0.926,0.972
6ZVRA_6ZVRAB,6ZVRAB,30,219,219,0.995,0.998,0.997,12.41,5.247,2.853,1,1,2,2,3,7,0.813,0.531,0.995,0.998,0.997,11.71,5.675,2.85,1,1,2,2,2,4,0.838,0.579,1,2,3,3,4,12,0.636,0.957,1,2,2,3,3,9,0.642,0.965
6CHGE_6UGMP,6UGMP,6,49,43,0.735,0.812,0.718,2.378,1.649,0.488,1,2,2,3,4,5,0.645,0.308,0.837,0.87,0.805,2.378,1.828,0.577,1,1,2,2,3,5,0.831,0.444,2,3,3,4,5,5,0.418,0.74,1,2,3,4,4,5,0.615,0.838
3ZGZA_4AS1A,4AS1A,20,868,811,0.945,0.964,0.945,3.825,2.206,1.167,1,2,2,3,4,11,0.74,0.267,0.994,0.996,0.994,3.547,2.856,0.879,1,1,1,2,3,5,0.867,0.311,1,3,4,5,8,14,0.508,0.887,1,2,3,3,5,11,0.666,0.956
2YVEA_2YVEB,2YVEB,10,181,172,0.945,0.949,0.924,2.21,1.274,0.569,1,2,2,3,4,5,0.734,0.541,0.994,0.998,0.997,1.97,1.233,0.616,1,1,2,2,3,5,0.825,0.568,1,3,3,4,4,7,0.593,0.926,1,2,3,3,4,6,0.664,0.971
1CQXA_3OZVB,3OZVB,7,403,403,1,0.999,0.998,4.79,2.919,2.027,1,1,1,1,1,3,0.978,0.391,1,0.999,0.998,4.668,2.602,2.027,1,1,1,1,1,2,0.979,0.399,1,1,1,2,3,5,0.868,0.983,1,1,1,2,3,5,0.875,0.983
4WICA_4WIDA,4WIDA,6,354,353,0.96,0.971,0.956,3.548,2.354,0.808,2,2,3,3,4,5,0.473,0.454,0.963,0.971,0.956,3.548,3.216,0.221,1,1,2,2,3,4,0.821,0.429,1,2,3,3,4,5,0.511,0.883,1,2,2,2,3,5,0.683,0.918
1KGCD_4GG6G,4GG6G,24,204,181,0.902,0.827,0.733,3.158,1.704,0.546,2,6,7,9,11,17,0.33,0.71,0.967,0.847,0.771,2.841,2.485,0.493,1,1,2,3,5,11,0.833,0.422,2,6,7,9,11,17,0.356,0.844,1,3,4,6,9,14,0.606,0.93
7P2Yb_7P3Nb,7P3Nb,6,155,145,0.968,0.969,0.953,13.21,8.268,5.016,1,1,1,1,2,3,0.941,0.632,1,1,1,13.09,8.222,5.134,1,1,1,1,1,3,0.963,0.646,1,2,2,3,3,5,0.769,0.953,1,1,2,2,3,5,0.806,0.979
7SQDA_7SQDP,7SQDP,37,557,557,1,1,1,46.45,24.155,19.845,1,1,1,1,2,3,0.906,0.716,1,1,1,43.17,23.289,18.31,1,1,1,1,2,3,0.932,0.709,1,2,2,2,3,3,0.742,0.974,1,2,2,2,3,3,0.778,0.977
2JTMA_5WWCA,5WWCA,16,60,56,0.95,0.932,0.898,2.549,1.029,0.697,2,3,4,5,6,10,0.351,0.302,1,0.977,0.966,2.462,1.848,0.198,1,1,1,2,3,5,0.893,0.304,2,4,4,6,8,12,0.359,0.85,1,2,2,3,5,9,0.724,0.965
6GCSD_7B0Na,7B0Na,10,86,86,1,0.986,0.979,5.873,1.695,2.045,1,1,1,1,2,4,0.934,0.362,1,0.986,0.979,5.813,1.354,1.592,1,1,1,2,2,4,0.857,0.368,1,3,3,4,5,7,0.643,0.891,1,2,3,4,5,6,0.6,0.889
6L6ZA_6L6ZA,6L6ZA,18,562,562,0.989,0.996,0.994,3.311,2.134,1.276,1,2,2,2,3,5,0.71,0.203,0.989,0.996,0.994,3.27,2.073,1.308,1,1,2,2,3,4,0.811,0.158,1,2,3,3,4,8,0.535,0.911,1,2,2,3,3,7,0.563,0.928
6XFJA_6XFJC,6XFJC,6,79,77,0.962,0.91,0.865,6.859,2.5,2.566,1,1,1,1,2,3,0.923,0.347,0.987,0.933,0.9,6.859,1.894,2.542,1,1,1,1,2,2,0.937,0.341,1,1,2,2,3,4,0.811,0.971,1,1,2,2,3,4,0.808,0.976
1IRUI_6EPC2,6EPC2,152,222,219,0.991,0.982,0.973,4.719,0.911,0.866,1,6,8,11,21,60,0.553,0.848,1,0.992,0.989,4.719,4.477,0.244,1,1,1,1,1,5,0.977,0.823,2,7,10,14,26,70,0.494,0.909,1,1,1,2,4,20,0.889,0.989
1VVJRE_5ZLUa,5ZLUa,370,206,206,0.99,0.99,0.985,3.254,1.181,0.635,1,6,11,21,49,137,0.561,0.114,0.99,0.99,0.985,3.176,2.958,0.16,1,1,1,1,2,22,0.907,0.597,5,30,44,66,107,197,0.199,0.712,1,3,6,13,35,107,0.718,0.942
1IWLA_6FHMA,6FHMA,12,200,193,0.89,0.927,0.872,19.98,7.084,7.91,1,1,1,1,2,4,0.944,0.351,0.922,0.927,0.89,19.98,17.362,5.391,1,1,1,1,1,3,0.958,0.361,1,2,3,3,4,7,0.716,0.912,1,1,1,2,3,6,0.859,0.947
4FZQA_4FZQC,4FZQC,6,79,79,0.962,0.968,0.952,2.939,1.54,0.63,1,1,2,2,3,4,0.848,0.674,0.962,0.968,0.952,2.939,1.946,0.744,1,1,1,1,2,4,0.945,0.667,1,2,3,3,4,5,0.646,0.93,1,2,2,3,3,5,0.745,0.946
2E0TA_5GTJA,5GTJA,12,174,166,0.851,0.889,0.815,12.06,5.377,5.325,1,1,1,1,1,3,0.969,0.341,0.886,0.887,0.831,11.77,9.678,4.229,1,1,1,1,1,1,0.997,0.344,1,1,1,2,3,7,0.89,0.85,1,1,1,1,2,5,0.934,0.884
5YU5A_5YU5A,5YU5A,7,452,447,0.985,0.97,0.954,15.91,5.047,6.742,1,1,1,1,1,1,0.993,0.516,0.996,0.98,0.969,15.5,3.285,5.469,1,1,1,1,1,2,0.985,0.519,1,1,1,2,2,5,0.88,0.93,1,1,1,2,2,4,0.864,0.935
3RUKA_6WR1B,6WR1B,62,489,471,0.951,0.974,0.949,3.954,0.978,0.842,1,2,2,2,5,23,0.527,0.048,0.977,0.975,0.962,3.926,3.692,0.403,1,1,1,1,1,2,0.965,0.046,2,8,10,14,20,38,0.279,0.795,1,2,3,5,10,24,0.758,0.959
7N6G0A_7N6G0E,7N6G0E,50,504,499,0.915,0.927,0.885,8.136,3.884,2.404,1,2,2,3,6,20,0.789,0.145,0.924,0.924,0.886,7.566,5.514,1.975,1,1,1,2,3,12,0.889,0.175,2,7,9,12,19,37,0.285,0.71,1,4,6,8,14,32,0.552,0.889
2V4DB_2V4DH,2V4DH,35,346,327,0.945,0.958,0.936,8.597,4.601,2.726,1,2,2,2,3,10,0.573,0.526,1,1,1,8.37,6.912,2.134,1,1,1,2,2,3,0.858,0.567,2,2,3,3,5,19,0.424,0.89,1,2,2,2,3,10,0.672,0.968
5BJSB_5M5GB,5M5GB,12,869,799,0.857,0.901,0.833,2.578,1.406,0.858,1,1,2,2,4,7,0.842,0.077,0.932,0.932,0.897,2.578,1.477,0.941,1,1,1,2,3,6,0.887,0.09,1,3,3,4,5,8,0.618,0.842,1,2,2,3,5,8,0.679,0.899
5BS6A_5DEQA,5DEQA,9,228,214,0.974,0.968,0.952,3.181,1.665,1.141,1,2,2,3,3,5,0.744,0.571,0.991,0.991,0.987,3.181,2.838,0.558,1,1,1,1,1,3,0.966,0.574,1,2,2,3,4,7,0.733,0.945,1,1,1,2,3,5,0.875,0.981
3Q10A_3Q10B,3Q10B,8,286,285,0.99,0.92,0.878,2.644,1.201,0.865,1,1,1,1,2,3,0.947,0.626,0.993,0.92,0.88,2.633,1.078,0.942,1,1,1,1,1,3,0.962,0.617,1,1,2,2,3,5,0.808,0.97,1,1,2,2,3,5,0.834,0.976
1ZTMA_1ZTMC,1ZTMC,9,444,424,0.883,0.938,0.887,38.15,19.67,17.658,1,1,1,1,1,3,0.979,0.364,0.925,0.929,0.894,38.15,28.658,15.974,1,1,1,1,1,1,0.995,0.378,1,1,1,2,3,6,0.877,0.906,1,1,1,1,2,5,0.93,0.949
6E25A_6N2PA,6N2PA,7,97,88,0.928,0.936,0.904,18.97,10.666,8.357,1,1,1,1,1,3,0.953,0.665,1,0.997,0.995,17.97,12.734,7.265,1,1,1,1,1,2,0.982,0.68,1,1,1,2,3,4,0.858,0.939,1,1,1,2,3,4,0.884,0.987
3RHWA_3RIAC,3RIAC,40,342,339,0.985,0.99,0.985,2.478,1.438,0.882,1,1,2,2,2,8,0.804,0.569,0.991,0.996,0.994,2.443,1.368,0.965,1,1,1,2,2,5,0.884,0.577,1,2,2,3,5,15,0.683,0.943,1,2,2,3,3,11,0.726,0.948
1VERA_3MOQB,3MOQB,10,127,126,0.89,0.829,0.739,4.479,2.263,1.645,1,1,1,1,3,6,0.902,0.185,0.897,0.828,0.743,4.479,2.687,1.712,1,1,1,1,1,4,0.954,0.182,1,2,2,3,5,7,0.711,0.864,1,2,2,3,4,6,0.744,0.873
4AQ5E_4AQ5E,4AQ5E,17,415,370,0.935,0.937,0.902,5.262,2.074,2.017,1,1,1,1,2,7,0.924,0.49,0.997,0.981,0.972,5.262,4.594,1.419,1,1,1,1,1,3,0.979,0.555,1,3,3,5,7,12,0.676,0.87,1,1,1,2,4,9,0.854,0.984
1ACBI_1EGLA,1EGLA,18,71,70,0.887,0.888,0.831,2.124,0.589,0.409,1,4,5,6,8,12,0.531,0.522,0.9,0.9,0.849,2.124,1.635,0.314,1,1,1,2,2,7,0.878,0.477,2,5,6,8,10,14,0.367,0.828,1,3,3,5,7,11,0.685,0.897
5V44A_5V46A,5V46A,9,252,252,0.893,0.865,0.798,3.977,1.342,0.894,1,3,4,5,6,8,0.61,0.11,0.893,0.865,0.798,3.977,2.591,1.187,1,1,2,2,4,6,0.843,0.071,1,4,5,5,6,8,0.501,0.842,1,3,4,5,6,8,0.635,0.881
3WDKA_3WDMD,3WDMD,20,260,255,0.95,0.922,0.882,2.342,0.989,0.464,1,3,4,6,8,14,0.532,0.107,0.965,0.928,0.891,2.342,1.69,0.649,1,1,1,2,3,8,0.876,0.067,2,5,6,8,11,15,0.382,0.833,1,3,4,5,9,14,0.618,0.935
6U425O_8GLVGy,8GLVGy,7,376,376,1,1,1,3.234,1.951,1.421,1,1,1,1,1,2,0.986,0.478,1,1,1,3.206,2.228,1.34,1,1,1,1,1,1,0.991,0.484,1,1,2,3,4,6,0.843,0.979,1,1,1,2,3,6,0.883,0.987
5YX9A_5YX9B,5YX9B,7,746,675,0.418,0.66,0.481,7.642,2.95,2.924,1,1,1,2,3,5,0.9,0.203,0.462,0.699,0.548,7.627,2.427,2.329,1,1,2,2,2,5,0.808,0.224,2,3,4,4,5,6,0.428,0.389,2,3,4,4,5,6,0.407,0.429
7D6YB_7F07C,7F07C,5,140,128,0.864,0.902,0.835,2.437,1.229,0.97,1,1,1,1,2,3,0.932,0.108,0.945,0.9,0.85,2.437,2.409,0.028,1,1,1,1,1,2,0.989,0.118,2,3,3,3,3,4,0.493,0.812,1,2,2,3,3,4,0.718,0.945
4KM8A_4KM9A,4KM9A,5,399,382,0.912,0.958,0.924,6.86,3.009,3.093,1,1,1,1,1,2,0.987,0.624,0.953,0.968,0.952,6.726,2.121,2.659,1,1,1,1,1,2,0.98,0.648,1,1,1,1,2,4,0.906,0.928,1,1,1,2,2,3,0.884,0.959
1PX5A_4RWOA,4RWOA,7,349,347,0.968,0.972,0.958,3.825,2.405,1.284,1,1,1,2,3,5,0.858,0.252,0.974,0.977,0.966,3.756,2.603,1.281,1,1,1,2,3,5,0.881,0.265,1,3,3,3,4,6,0.637,0.946,1,2,3,3,4,6,0.716,0.954
1PJQA_6P5XA,6P5XA,30,457,451,0.976,0.978,0.965,12.74,6.757,5.926,1,1,1,1,1,1,0.992,0.672,0.989,0.986,0.98,12.63,6.817,5.844,1,1,1,1,1,1,0.993,0.666,1,1,1,1,4,13,0.908,0.974,1,1,1,1,2,8,0.908,0.982
3J6XS8_5MC6V,5MC6V,177,205,188,0.917,0.892,0.833,5.126,0.946,0.555,6,22,29,39,60,111,0.249,0.149,1,0.963,0.945,5.126,4.137,0.271,1,1,1,1,2,17,0.949,0.21,9,30,38,50,72,122,0.135,0.627,1,3,7,14,28,71,0.759,0.964
1YMTA_3F7DA,3F7DA,9,246,238,0.935,0.92,0.876,2.846,1.48,0.793,1,3,3,4,5,7,0.507,0.099,0.966,0.94,0.909,2.846,2.23,0.353,1,1,2,2,3,6,0.831,0.103,2,4,5,6,6,8,0.402,0.869,1,3,3,4,6,7,0.623,0.927
2VSMA_7TXZB,7TXZB,11,508,471,0.819,0.855,0.763,13.73,1.655,2.903,1,2,2,3,3,6,0.691,0.407,0.883,0.885,0.827,13.73,4.551,5.593,1,1,1,1,2,4,0.932,0.219,1,2,2,3,5,8,0.743,0.815,1,2,3,3,4,7,0.724,0.892
1WE7A_1ZKHA,1ZKHA,6,115,86,0.765,0.75,0.624,3.308,1.755,0.717,2,3,3,3,4,5,0.471,0.334,1,0.988,0.983,2.122,1.809,0.167,1,1,2,2,3,3,0.803,0.246,2,3,3,3,4,5,0.437,0.893,1,2,3,3,3,4,0.588,0.938
1IRUD_5T0IJ,5T0IJ,159,254,239,0.933,0.944,0.904,4.017,1.562,0.853,1,8,12,18,31,72,0.56,0.054,0.992,0.979,0.969,4.017,3.195,0.404,1,1,1,2,4,27,0.878,0.16,4,18,23,32,49,92,0.25,0.843,1,4,8,14,25,64,0.63,0.938
5CZWA_5GWDA,5GWDA,19,241,239,0.846,0.855,0.778,5.095,1.578,2.1,1,1,1,1,1,2,0.968,0.399,0.854,0.855,0.782,5.095,4.514,1.39,1,1,1,1,1,1,0.996,0.395,1,1,2,3,4,9,0.838,0.838,1,1,1,1,2,6,0.935,0.85
5DA8A_5DA8M,5DA8M,28,526,463,0.913,0.923,0.88,2.403,1.076,0.401,2,6,7,10,14,22,0.458,0.611,0.959,0.958,0.936,2.403,1.737,0.343,1,1,1,3,6,16,0.856,0.383,1,5,6,7,11,21,0.508,0.848,1,2,3,4,7,16,0.706,0.951
1FO0B_1KJ2E,1KJ2E,6,117,117,0.966,0.925,0.888,2.656,1.737,0.73,1,2,2,2,3,4,0.659,0.139,0.966,0.925,0.888,2.656,1.869,0.851,1,1,2,2,2,3,0.843,0.136,1,2,3,3,4,4,0.571,0.918,1,2,2,3,3,4,0.719,0.947
2JA2A_3PNVB,3PNVB,5,485,485,0.992,0.993,0.989,2.742,1.739,0.805,1,1,2,2,2,3,0.848,0.123,0.992,0.993,0.989,2.648,1.812,0.853,1,1,1,1,2,3,0.921,0.111,1,2,2,3,3,4,0.611,0.941,1,2,2,3,3,4,0.681,0.96
6YFK0_6YFK1,6YFK1,6,137,137,1,1,1,2.796,1.227,1.043,1,1,1,1,2,2,0.904,0.118,1,1,1,2.796,0.929,0.985,1,1,1,2,2,2,0.896,0.127,1,1,2,2,2,4,0.804,0.978,1,1,2,2,2,4,0.804,0.976
